identity_id,okta_login,privilege_level,assigned_groups,account_status,last_login_days,created_date,mfa_status
CON018,timothy.wright@contractor.company.com,User,Okta_Contractors,Active,86,2023-12-17,Enrolled
CON019,natalie.foster@contractor.company.com,SuperAdmin,Okta_AppAdmins,Active,47,2023-04-28,Enrolled
CON021,sandra.reed@contractor.company.com,User,Okta_Contractors,Active,89,2023-04-19,Enrolled
CON022,sophia.gomez@contractor.company.com,User,Okta_Contractors,Active,29,2023-03-15,Enrolled
CON023,karen.young@contractor.company.com,User,Okta_Contractors,Active,61,2024-01-18,Enrolled
CON025,karen.rogers@contractor.company.com,User,Okta_Contractors,Active,48,2023-02-16,Enrolled
CON026,william.gonzales@contractor.company.com,User,Okta_Contractors,Active,89,2023-03-20,Enrolled
CON028,amy.carter@contractor.company.com,User,Okta_Contractors,Active,54,2023-09-28,Enrolled
CON029,justin.gonzales@contractor.company.com,SuperAdmin,Okta_AppAdmins,Active,29,2023-12-15,Enrolled
CON030,thomas.mendoza@contractor.company.com,User,Okta_Contractors,Active,10,2024-01-29,Enrolled
CON031,kimberly.anderson@contractor.company.com,User,Okta_Contractors,Active,69,2023-08-11,Enrolled
CON032,gary.smith@contractor.company.com,User,Okta_Contractors,Active,24,2023-09-14,NotEnrolled
CON033,anthony.cook@contractor.company.com,User,Okta_Contractors,Active,0,2023-11-17,Enrolled
CON034,natalie.brooks@contractor.company.com,User,Okta_Contractors,Active,15,2023-03-20,Enrolled
CON035,zoey.lee@contractor.company.com,SuperAdmin,Okta_AppAdmins,Active,26,2023-11-03,Enrolled
CON036,eric.williams@contractor.company.com,User,Okta_Contractors,Active,40,2023-07-05,Enrolled
CON037,laura.walker@contractor.company.com,User,Okta_Contractors,Active,54,2023-05-04,Enrolled
CON038,richard.hernandez@contractor.company.com,User,Okta_Contractors,Active,32,2023-02-05,Enrolled
CON039,larry.foster@contractor.company.com,SuperAdmin,Okta_AppAdmins,Active,72,2023-03-07,Enrolled
CON040,nicholas.peterson@contractor.company.com,User,Okta_Contractors,Active,87,2023-05-16,Enrolled
CON042,tyler.sanders@contractor.company.com,User,Okta_Contractors,Active,26,2024-01-01,Enrolled
CON043,angela.bennett@contractor.company.com,User,Okta_Contractors,Active,71,2023-08-13,Enrolled
CON044,emma.thomas@contractor.company.com,User,Okta_Contractors,Active,47,2023-04-26,Enrolled
CON045,kimberly.williams@contractor.company.com,User,Okta_Contractors,Active,61,2023-10-29,Enrolled
CON046,james.martinez@contractor.company.com,SuperAdmin,Okta_AppAdmins,Active,44,2023-04-28,Enrolled
CON047,samantha.jones@contractor.company.com,User,Okta_Contractors,Active,50,2023-02-06,Enrolled
CON048,paul.scott@contractor.company.com,User,Okta_Contractors,Active,84,2023-04-20,Enrolled
CON049,charles.castillo@contractor.company.com,User,Okta_Contractors,Active,29,2023-05-05,Enrolled
EMP0002,jeffrey.reyes@company.com,SuperAdmin,Okta_SuperAdmins,Active,202,2020-05-04,Enrolled
EMP0003,lily.baker@company.com,SuperAdmin,Okta_SuperAdmins,Disabled,380,2021-01-27,Enrolled
EMP0004,larry.edwards@company.com,SuperAdmin,Okta_SuperAdmins,Disabled,146,2021-01-10,Enrolled
EMP0005,olivia.young@company.com,User,Okta_Users,Disabled,122,2023-02-01,Enrolled
EMP0006,william.wood@company.com,SuperAdmin,Okta_SuperAdmins,Disabled,361,2021-04-29,Enrolled
EMP0007,jeffrey.morales@company.com,User,Okta_Users,Disabled,342,2022-04-01,NotEnrolled
EMP0008,lisa.carter@company.com,User,Okta_Users,Disabled,309,2021-06-27,NotEnrolled
EMP0009,jose.collins@company.com,User,Okta_Users,Active,139,2023-02-12,Enrolled
EMP0010,aria.morales@company.com,SuperAdmin,Okta_SuperAdmins,Active,325,2021-08-30,Enrolled
EMP0011,patricia.howard@company.com,SuperAdmin,Okta_SuperAdmins,Active,149,2020-04-27,Enrolled
EMP0012,brandon.morris@company.com,SuperAdmin,Okta_SuperAdmins,Disabled,373,2022-11-06,Enrolled
EMP0013,douglas.white@company.com,User,Okta_Users,Disabled,223,2021-04-26,Enrolled
EMP0014,sarah.reed@company.com,User,Okta_Users,Disabled,385,2020-03-22,Enrolled
EMP0015,richard.turner@company.com,SuperAdmin,Okta_SuperAdmins,Disabled,137,2021-02-22,Enrolled
EMP0016,aria.green@company.com,User,Okta_Users,Active,65,2021-06-27,Enrolled
EMP0017,charles.bennett@company.com,User,Okta_Users,Active,29,2022-07-25,Enrolled
EMP0018,walter.long@company.com,User,Okta_Users,Active,86,2020-01-20,NotEnrolled
EMP0019,ella.reed@company.com,User,Okta_Users,Active,30,2020-05-30,Enrolled
EMP0020,sandra.cook@company.com,User,Okta_Users,Active,20,2020-09-28,NotEnrolled
EMP0021,peter.rodriguez@company.com,User,Okta_Users,Active,35,2022-01-26,Enrolled
EMP0022,matthew.cruz@company.com,User,Okta_Users,Active,45,2022-12-19,Enrolled
EMP0023,chloe.sullivan@company.com,User,Okta_Users,Active,51,2020-07-31,Enrolled
EMP0024,ruth.anderson@company.com,User,Okta_Users,Active,66,2023-02-07,NotEnrolled
EMP0025,joshua.torres@company.com,User,Okta_Users,Active,8,2021-12-03,Enrolled
EMP0026,victoria.brooks@company.com,User,Okta_Users,Active,70,2022-11-01,Enrolled
EMP0027,andrew.henderson@company.com,SuperAdmin,Okta_AppAdmins,Active,74,2020-07-08,Enrolled
EMP0028,ryan.coleman@company.com,User,Okta_Users,Active,35,2020-03-31,Enrolled
EMP0029,george.foster@company.com,SuperAdmin,Okta_AppAdmins,Active,58,2021-06-20,Enrolled
EMP0031,thomas.martinez@company.com,SuperAdmin,Okta_AppAdmins,Active,33,2023-01-22,Enrolled
EMP0032,henry.mitchell@company.com,SuperAdmin,Okta_AppAdmins,Active,71,2022-05-30,NotEnrolled
EMP0033,linda.flores@company.com,User,Okta_Users,Active,37,2020-03-22,Enrolled
EMP0034,donald.mendoza@company.com,User,Okta_Users,Active,14,2020-07-29,Enrolled
EMP0036,zachary.lee@company.com,SuperAdmin,Okta_AppAdmins,Active,68,2022-04-24,Enrolled
EMP0037,anthony.patel@company.com,User,Okta_Users,Active,73,2022-04-23,Enrolled
EMP0038,chloe.gonzales@company.com,User,Okta_Users,Active,56,2021-06-30,Enrolled
EMP0039,jose.hughes@company.com,User,Okta_Users,Active,72,2022-02-22,Enrolled
EMP0040,hannah.stewart@company.com,User,Okta_Users,Active,31,2021-02-12,Enrolled
EMP0041,anna.collins@company.com,User,Okta_Users,Active,58,2021-09-17,Enrolled
EMP0042,leah.robinson@company.com,User,Okta_Users,Active,75,2020-02-18,Enrolled
EMP0043,mark.phillips@company.com,User,Okta_Users,Active,61,2021-07-24,Enrolled
EMP0044,aaron.scott@company.com,User,Okta_Users,Active,8,2022-11-09,Enrolled
EMP0045,frank.butler@company.com,User,Okta_Users,Active,28,2020-02-26,Enrolled
EMP0046,peter.king@company.com,User,Okta_Users,Active,40,2023-04-04,Enrolled
EMP0049,amy.kelly@company.com,User,Okta_Users,Active,45,2021-06-05,Enrolled
EMP0050,jack.parker@company.com,SuperAdmin,Okta_AppAdmins,Active,96,2022-11-30,Enrolled
EMP0051,larry.mendoza@company.com,User,Okta_Users,Active,33,2022-01-15,Enrolled
EMP0052,david.bennett@company.com,User,Okta_Users,Active,11,2021-10-04,Enrolled
EMP0053,douglas.thomas@company.com,User,Okta_Users,Active,43,2022-11-04,NotEnrolled
EMP0054,chloe.evans@company.com,User,Okta_Users,Active,22,2022-04-04,Enrolled
EMP0055,michelle.peterson@company.com,SuperAdmin,Okta_AppAdmins,Active,140,2021-01-27,Enrolled
EMP0056,chloe.carter@company.com,SuperAdmin,Okta_AppAdmins,Active,23,2023-03-11,Enrolled
EMP0057,angela.peterson@company.com,SuperAdmin,Okta_AppAdmins,Active,24,2021-09-14,Enrolled
EMP0058,donald.parker@company.com,User,Okta_Users,Active,25,2022-08-10,Enrolled
EMP0059,jacob.gray@company.com,User,Okta_Users,Active,30,2022-11-12,Enrolled
EMP0060,lillian.jenkins@company.com,SuperAdmin,Okta_AppAdmins,Active,121,2020-06-22,Enrolled
EMP0061,isabella.james@company.com,User,Okta_Users,Active,31,2020-07-10,Enrolled
EMP0062,tyler.walker@company.com,User,Okta_Users,Active,45,2021-04-05,Enrolled
EMP0063,helen.jackson@company.com,User,Okta_Users,Active,10,2020-04-04,Enrolled
EMP0064,nicholas.ward@company.com,User,Okta_Users,Active,84,2022-07-21,Enrolled
EMP0065,audrey.watson@company.com,SuperAdmin,Okta_AppAdmins,Active,95,2022-02-25,Enrolled
EMP0066,angela.young@company.com,SuperAdmin,Okta_AppAdmins,Active,5,2020-01-12,Enrolled
EMP0067,zachary.foster@company.com,User,Okta_Users,Active,47,2022-05-20,Enrolled
EMP0068,anthony.perry@company.com,User,Okta_Users,Active,63,2020-04-12,Enrolled
EMP0069,carol.henderson@company.com,User,Okta_Users,Active,73,2022-07-23,Enrolled
EMP0070,adam.reyes@company.com,User,Okta_Users,Active,62,2022-06-25,Enrolled
EMP0072,kyle.lee@company.com,User,Okta_Users,Active,65,2022-07-10,Enrolled
EMP0073,tyler.young@company.com,User,Okta_Users,Active,28,2022-12-03,Enrolled
EMP0074,gregory.walker@company.com,User,Okta_Users,Active,16,2022-06-19,NotEnrolled
EMP0075,aria.torres@company.com,User,Okta_Users,Active,54,2021-07-10,Enrolled
EMP0076,brian.cooper@company.com,User,Okta_Users,Active,69,2020-10-10,NotEnrolled
EMP0077,donna.roberts@company.com,SuperAdmin,Okta_AppAdmins,Active,87,2021-03-14,Enrolled
EMP0078,ashley.evans@company.com,User,Okta_Users,Active,58,2023-01-16,Enrolled
EMP0079,ashley.davis@company.com,User,Okta_Users,Active,89,2022-05-10,Enrolled
EMP0080,samantha.foster@company.com,SuperAdmin,Okta_AppAdmins,Active,1,2023-03-25,NotEnrolled
EMP0081,ava.smith@company.com,User,Okta_Users,Active,26,2021-09-03,Enrolled
EMP0083,jerry.cooper@company.com,User,Okta_Users,Active,12,2022-09-26,Enrolled
EMP0084,joshua.parker@company.com,User,Okta_Users,Active,78,2020-02-29,Enrolled
EMP0086,anna.taylor@company.com,User,Okta_Users,Active,33,2022-03-17,Enrolled
EMP0087,scott.james@company.com,SuperAdmin,Okta_AppAdmins,Active,78,2020-06-20,Enrolled
EMP0088,ryan.moore@company.com,User,Okta_Users,Active,23,2021-01-07,Enrolled
EMP0089,ruth.carter@company.com,User,Okta_Users,Active,26,2021-03-09,Enrolled
EMP0091,henry.turner@company.com,User,Okta_Users,Active,47,2020-06-16,Enrolled
EMP0092,robert.myers@company.com,SuperAdmin,Okta_AppAdmins,Active,57,2021-12-17,Enrolled
EMP0093,grace.rodriguez@company.com,User,Okta_Users,Active,73,2020-03-04,Enrolled
EMP0094,helen.butler@company.com,SuperAdmin,Okta_AppAdmins,Active,34,2020-11-08,Enrolled
EMP0095,charles.stewart@company.com,User,Okta_Users,Active,71,2023-03-01,Enrolled
EMP0096,olivia.hughes@company.com,User,Okta_Users,Active,48,2022-01-25,Enrolled
EMP0097,abigail.cox@company.com,User,Okta_Users,Active,19,2020-12-01,Enrolled
EMP0098,jessica.howard@company.com,User,Okta_Users,Active,53,2021-09-30,Enrolled
EMP0100,evelyn.ruiz@company.com,User,Okta_Users,Active,80,2020-07-27,Enrolled
EMP0101,aaron.hill@company.com,User,Okta_Users,Active,40,2023-03-05,Enrolled
EMP0103,jonathan.chavez@company.com,User,Okta_Users,Active,38,2020-01-26,Enrolled
EMP0104,lucy.morales@company.com,User,Okta_Users,Active,72,2022-06-06,NotEnrolled
EMP0105,scarlett.coleman@company.com,User,Okta_Users,Active,12,2020-11-09,Enrolled
EMP0106,anthony.sanders@company.com,User,Okta_Users,Active,7,2023-01-07,Enrolled
EMP0108,hannah.young@company.com,User,Okta_Users,Active,32,2021-07-25,Enrolled
EMP0109,carol.long@company.com,User,Okta_Users,Active,80,2023-03-13,NotEnrolled
EMP0110,chloe.carter@company.com,User,Okta_Users,Active,42,2020-02-28,Enrolled
EMP0111,douglas.adams@company.com,SuperAdmin,Okta_AppAdmins,Active,71,2022-09-25,Enrolled
EMP0112,deborah.perry@company.com,User,Okta_Users,Active,32,2021-11-28,Enrolled
EMP0113,peter.kim@company.com,User,Okta_Users,Active,52,2023-02-12,Enrolled
EMP0114,stephen.harris@company.com,User,Okta_Users,Active,86,2021-05-09,Enrolled
EMP0115,jeffrey.morales@company.com,User,Okta_Users,Active,25,2022-09-02,Enrolled
EMP0116,aria.morales@company.com,User,Okta_Users,Active,83,2020-02-05,Enrolled
EMP0118,patrick.howard@company.com,User,Okta_Users,Active,22,2022-08-27,Enrolled
EMP0120,deborah.hughes@company.com,User,Okta_Users,Active,36,2021-07-08,Enrolled
EMP0121,andrew.robinson@company.com,User,Okta_Users,Active,86,2021-01-29,Enrolled
EMP0122,sarah.myers@company.com,SuperAdmin,Okta_AppAdmins,Active,57,2021-01-27,Enrolled
EMP0123,jerry.morris@company.com,User,Okta_Users,Active,48,2022-12-10,Enrolled
EMP0124,kenneth.gonzalez@company.com,User,Okta_Users,Active,59,2021-08-29,Enrolled
EMP0125,ronald.thompson@company.com,User,Okta_Users,Active,18,2020-01-29,Enrolled
EMP0126,larry.taylor@company.com,User,Okta_Users,Active,81,2020-04-03,Enrolled
EMP0127,justin.nguyen@company.com,SuperAdmin,Okta_AppAdmins,Active,80,2022-10-02,Enrolled
EMP0128,leah.johnson@company.com,User,Okta_Users,Active,51,2022-08-19,Enrolled
EMP0129,jacob.baker@company.com,User,Okta_Users,Active,20,2020-04-15,Enrolled
EMP0130,zachary.morris@company.com,User,Okta_Users,Active,40,2020-05-13,Enrolled
EMP0131,eric.martinez@company.com,User,Okta_Users,Active,34,2020-11-06,Enrolled
EMP0132,addison.reed@company.com,User,Okta_Users,Active,50,2020-06-23,Enrolled
EMP0134,stephen.carter@company.com,User,Okta_Users,Active,56,2022-06-25,Enrolled
EMP0136,ella.davis@company.com,User,Okta_Users,Active,46,2021-03-01,Enrolled
EMP0137,sandra.king@company.com,User,Okta_Users,Active,66,2020-11-17,Enrolled
EMP0138,anthony.peterson@company.com,User,Okta_Users,Active,52,2020-11-16,Enrolled
EMP0139,jeffrey.edwards@company.com,User,Okta_Users,Active,2,2021-08-19,Enrolled
EMP0140,donna.torres@company.com,User,Okta_Users,Active,30,2022-07-18,Enrolled
EMP0141,victoria.robinson@company.com,User,Okta_Users,Active,89,2021-02-09,Enrolled
EMP0142,thomas.cooper@company.com,User,Okta_Users,Active,26,2020-11-01,Enrolled
EMP0143,lucy.jackson@company.com,User,Okta_Users,Active,13,2020-05-02,NotEnrolled
EMP0144,lillian.flores@company.com,User,Okta_Users,Active,60,2022-06-18,Enrolled
EMP0145,olivia.ruiz@company.com,User,Okta_Users,Active,3,2022-04-04,Enrolled
EMP0146,jonathan.cooper@company.com,User,Okta_Users,Active,67,2022-06-15,Enrolled
EMP0148,andrew.brown@company.com,User,Okta_Users,Active,10,2021-04-13,Enrolled
EMP0149,natalie.gonzales@company.com,SuperAdmin,Okta_AppAdmins,Active,10,2021-07-05,Enrolled
EMP0150,linda.ross@company.com,SuperAdmin,Okta_AppAdmins,Active,39,2022-08-21,Enrolled
EMP0151,grace.cruz@company.com,User,Okta_Users,Active,36,2021-01-06,Enrolled
EMP0152,brenda.brooks@company.com,User,Okta_Users,Active,16,2020-07-05,Enrolled
EMP0153,edward.evans@company.com,User,Okta_Users,Active,21,2021-10-19,NotEnrolled
EMP0154,jessica.barnes@company.com,SuperAdmin,Okta_AppAdmins,Active,41,2021-11-06,Enrolled
EMP0155,raymond.murphy@company.com,User,Okta_Users,Active,59,2022-03-31,Enrolled
EMP0156,zoey.peterson@company.com,SuperAdmin,Okta_AppAdmins,Active,34,2022-07-20,Enrolled
EMP0157,brian.allen@company.com,User,Okta_Users,Active,17,2020-08-25,Enrolled
EMP0158,angela.gonzales@company.com,SuperAdmin,Okta_AppAdmins,Active,22,2023-01-16,Enrolled
EMP0159,jeffrey.miller@company.com,User,Okta_Users,Active,58,2022-11-27,Enrolled
EMP0160,ella.long@company.com,User,Okta_Users,Active,81,2022-06-24,Enrolled
EMP0161,william.clark@company.com,User,Okta_Users,Active,55,2023-01-29,Enrolled
EMP0162,walter.torres@company.com,User,Okta_Users,Active,81,2022-09-19,Enrolled
EMP0163,jennifer.watson@company.com,User,Okta_Users,Active,44,2020-11-20,Enrolled
EMP0165,natalie.anderson@company.com,User,Okta_Users,Active,29,2020-08-28,Enrolled
EMP0166,henry.martin@company.com,User,Okta_Users,Active,56,2021-08-20,Enrolled
EMP0168,carol.collins@company.com,SuperAdmin,Okta_AppAdmins,Active,19,2022-02-24,Enrolled
EMP0169,anna.kim@company.com,User,Okta_Users,Active,17,2020-05-22,Enrolled
EMP0171,jonathan.wright@company.com,SuperAdmin,Okta_AppAdmins,Active,1,2021-08-02,Enrolled
EMP0172,kevin.butler@company.com,User,Okta_Users,Active,62,2020-10-31,Enrolled
EMP0173,larry.morris@company.com,User,Okta_Users,Active,61,2021-11-11,Enrolled
EMP0175,leah.harris@company.com,User,Okta_Users,Active,55,2023-03-17,Enrolled
EMP0178,lillian.bell@company.com,SuperAdmin,Okta_AppAdmins,Active,0,2022-10-11,Enrolled
EMP0179,charles.cook@company.com,User,Okta_Users,Active,24,2020-07-24,Enrolled
EMP0180,joseph.ortiz@company.com,User,Okta_Users,Active,71,2020-02-01,Enrolled
EMP0181,daniel.evans@company.com,User,Okta_Users,Active,82,2020-06-02,Enrolled
EMP0182,jose.king@company.com,User,Okta_Users,Active,48,2022-03-25,Enrolled
EMP0183,richard.barnes@company.com,User,Okta_Users,Active,10,2022-12-28,Enrolled
EMP0184,brian.watson@company.com,User,Okta_Users,Active,30,2023-01-13,Enrolled
EMP0185,ella.rodriguez@company.com,User,Okta_Users,Active,78,2021-08-11,Enrolled
EMP0187,scarlett.price@company.com,User,Okta_Users,Active,87,2022-06-27,Enrolled
EMP0188,raymond.hill@company.com,SuperAdmin,Okta_AppAdmins,Active,68,2020-04-04,Enrolled
EMP0189,lillian.davis@company.com,User,Okta_Users,Active,52,2022-01-04,Enrolled
EMP0190,brenda.jackson@company.com,User,Okta_Users,Active,8,2022-12-23,Enrolled
EMP0191,scott.mendoza@company.com,User,Okta_Users,Active,81,2020-12-14,Enrolled
EMP0193,ethan.howard@company.com,SuperAdmin,Okta_AppAdmins,Active,89,2021-04-20,Enrolled
EMP0194,scarlett.allen@company.com,User,Okta_Users,Active,24,2021-06-06,Enrolled
EMP0195,maria.perry@company.com,User,Okta_Users,Active,19,2021-08-12,NotEnrolled
EMP0196,charlotte.lee@company.com,User,Okta_Users,Active,68,2022-06-23,NotEnrolled
EMP0198,douglas.hill@company.com,User,Okta_Users,Active,13,2022-02-26,Enrolled
EMP0200,harper.nguyen@company.com,User,Okta_Users,Active,16,2020-02-14,Enrolled
EMP0201,jason.scott@company.com,SuperAdmin,Okta_AppAdmins,Active,29,2023-03-05,NotEnrolled
EMP0202,penelope.myers@company.com,User,Okta_Users,Active,27,2022-10-14,Enrolled
EMP0203,penelope.perry@company.com,User,Okta_Users,Active,39,2021-12-22,Enrolled
EMP0204,scarlett.harris@company.com,User,Okta_Users,Active,63,2020-10-07,Enrolled
EMP0205,joseph.watson@company.com,SuperAdmin,Okta_AppAdmins,Active,4,2021-09-24,Enrolled
EMP0206,jacob.jones@company.com,User,Okta_Users,Active,18,2020-09-26,NotEnrolled
EMP0207,ethan.nguyen@company.com,User,Okta_Users,Active,50,2022-04-30,NotEnrolled
EMP0208,helen.taylor@company.com,User,Okta_Users,Active,60,2022-12-23,Enrolled
EMP0209,ethan.wright@company.com,SuperAdmin,Okta_AppAdmins,Active,32,2021-06-10,Enrolled
EMP0210,addison.nguyen@company.com,User,Okta_Users,Active,1,2020-08-23,Enrolled
EMP0211,elizabeth.jackson@company.com,User,Okta_Users,Active,31,2022-03-24,Enrolled
EMP0212,amelia.campbell@company.com,User,Okta_Users,Active,56,2022-03-19,Enrolled
EMP0213,ruth.morgan@company.com,User,Okta_Users,Active,4,2022-07-20,Enrolled
EMP0214,frank.myers@company.com,User,Okta_Users,Active,12,2023-04-12,Enrolled
EMP0215,lucy.brooks@company.com,User,Okta_Users,Active,26,2020-08-09,Enrolled
EMP0216,donna.stewart@company.com,SuperAdmin,Okta_AppAdmins,Active,39,2023-02-23,Enrolled
EMP0217,anna.ward@company.com,User,Okta_Users,Active,20,2020-05-09,Enrolled
EMP0218,lucy.reyes@company.com,User,Okta_Users,Active,5,2022-04-16,Enrolled
EMP0219,karen.garcia@company.com,SuperAdmin,Okta_AppAdmins,Active,15,2021-09-15,Enrolled
EMP0220,thomas.gonzalez@company.com,User,Okta_Users,Active,81,2023-01-05,Enrolled
EMP0221,amy.collins@company.com,User,Okta_Users,Active,46,2023-01-11,Enrolled
EMP0222,evelyn.myers@company.com,SuperAdmin,Okta_AppAdmins,Active,27,2022-04-29,Enrolled
EMP0223,joseph.coleman@company.com,User,Okta_Users,Active,30,2022-04-15,Enrolled
EMP0224,michael.ruiz@company.com,User,Okta_Users,Active,41,2021-03-20,NotEnrolled
EMP0225,jacob.walker@company.com,User,Okta_Users,Active,35,2020-07-22,Enrolled
EMP0226,dorothy.cooper@company.com,User,Okta_Users,Active,50,2020-05-04,Enrolled
EMP0227,sharon.harris@company.com,User,Okta_Users,Active,1,2022-07-20,Enrolled
EMP0228,patrick.ramirez@company.com,SuperAdmin,Okta_AppAdmins,Active,88,2020-04-13,Enrolled
EMP0229,george.young@company.com,SuperAdmin,Okta_AppAdmins,Active,47,2023-03-02,Enrolled
EMP0230,david.coleman@company.com,User,Okta_Users,Active,31,2023-04-15,Enrolled
EMP0231,nathan.robinson@company.com,User,Okta_Users,Active,11,2020-10-29,Enrolled
EMP0232,samantha.kim@company.com,SuperAdmin,Okta_AppAdmins,Active,80,2021-07-21,NotEnrolled
EMP0233,charles.cooper@company.com,User,Okta_Users,Active,45,2020-12-23,Enrolled
EMP0234,patrick.gonzales@company.com,SuperAdmin,Okta_AppAdmins,Active,13,2020-09-26,Enrolled
EMP0235,deborah.jenkins@company.com,User,Okta_Users,Active,29,2021-10-25,Enrolled
EMP0236,anthony.king@company.com,SuperAdmin,Okta_AppAdmins,Active,82,2020-09-16,Enrolled
EMP0237,ashley.ortiz@company.com,User,Okta_Users,Active,56,2020-05-10,Enrolled
EMP0238,emma.jimenez@company.com,User,Okta_Users,Active,2,2022-11-17,Enrolled
EMP0239,jessica.edwards@company.com,User,Okta_Users,Active,45,2020-03-29,Enrolled
EMP0240,jose.gonzales@company.com,User,Okta_Users,Active,32,2022-07-27,Enrolled
EMP0241,jennifer.davis@company.com,User,Okta_Users,Active,62,2022-04-02,Enrolled
EMP0242,victoria.wilson@company.com,User,Okta_Users,Active,71,2022-06-27,Enrolled
EMP0243,samantha.hernandez@company.com,User,Okta_Users,Active,89,2020-10-30,Enrolled
EMP0244,charles.scott@company.com,User,Okta_Users,Active,72,2022-02-19,Enrolled
EMP0245,mia.nguyen@company.com,User,Okta_Users,Active,44,2022-11-01,Enrolled
EMP0246,brenda.gonzalez@company.com,User,Okta_Users,Active,59,2023-02-03,Enrolled
EMP0248,jeffrey.baker@company.com,User,Okta_Users,Active,76,2022-03-27,Enrolled
EMP0249,lily.gonzalez@company.com,User,Okta_Users,Active,70,2022-05-24,Enrolled
EMP0250,chloe.allen@company.com,User,Okta_Users,Active,67,2020-11-08,Enrolled
EMP0251,walter.stewart@company.com,User,Okta_Users,Active,37,2020-07-05,Enrolled
EMP0252,susan.parker@company.com,User,Okta_Users,Active,69,2022-02-02,Enrolled
